"","CASENUM","COHORT","GENDER","STRATA","SCHOOLID","RACETH","STEM","year_from_baseline","urban","nkids","edulevel","health","time","MISSING","GENDER.int","health.cut"
"1490",1048,"(1) Older","Female","(9) South-Rural",241,"(3) White",NA,27,NA,NA,NA,NA,7,1,0,NA
"183",1072,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,20,"(5) Rural/small town 49,999 or less",0,"<PHD",9,0,0,1,"9"
"555",1072,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,1,0,1,"9"
"927",1072,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,22,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,2,0,1,"9"
"1299",1072,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,3,0,1,"9"
"1671",1072,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,24,NA,1,"<PHD",9,4,0,1,"9"
"3",1125,"(1) Older","Male","(12) West-Rural",244,"(3) White",1,23,"(5) Rural/small town 49,999 or less",2,"<PHD",9,3,0,1,"9"
"375",1125,"(1) Older","Male","(12) West-Rural",244,"(3) White",NA,24,NA,NA,NA,9,4,1,1,"9"
"747",1125,"(1) Older","Male","(12) West-Rural",244,"(3) White",NA,25,NA,NA,NA,9,5,1,1,"9"
"1119",1125,"(1) Older","Male","(12) West-Rural",244,"(3) White",NA,26,NA,NA,NA,NA,6,1,1,NA
"1491",1125,"(1) Older","Male","(12) West-Rural",244,"(3) White",NA,27,NA,NA,NA,NA,7,1,1,NA
"184",1134,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,0,0,1,"8"
"556",1134,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",8,1,0,1,"8"
"928",1134,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",1,22,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,2,0,1,"8"
"1300",1134,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,3,0,1,"8"
"1672",1134,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",1,24,NA,2,"<PHD",8,4,0,1,"8"
"185",1140,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,20,"(5) Rural/small town 49,999 or less",0,"<PHD",9,0,0,1,"9"
"557",1140,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,21,"(5) Rural/small town 49,999 or less",0,"<PHD",9,1,0,1,"9"
"929",1140,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,22,"(5) Rural/small town 49,999 or less",1,"<PHD",9,2,0,1,"9"
"1301",1140,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,23,"(5) Rural/small town 49,999 or less",2,"<PHD",9,3,0,1,"9"
"1673",1140,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,24,NA,2,"<PHD",9,4,0,1,"9"
"186",1155,"(2) Younger","Male","(9) South-Rural",141,"(3) White",0,20,"(5) Rural/small town 49,999 or less",2,"<PHD",6,0,0,1,"6"
"558",1155,"(2) Younger","Male","(9) South-Rural",141,"(3) White",NA,21,"(5) Rural/small town 49,999 or less",NA,"<PHD",6,1,1,1,"6"
"930",1155,"(2) Younger","Male","(9) South-Rural",141,"(3) White",NA,22,"(5) Rural/small town 49,999 or less",NA,"<PHD",6,2,1,1,"6"
"1302",1155,"(2) Younger","Male","(9) South-Rural",141,"(3) White",0,23,"(5) Rural/small town 49,999 or less",2,"<PHD",6,3,0,1,"6"
"1674",1155,"(2) Younger","Male","(9) South-Rural",141,"(3) White",0,24,NA,2,"<PHD",6,4,0,1,"6"
"187",1173,"(2) Younger","Male","(11) West-Suburban",133,"(4) Asian",0,20,"(4) Urban areas & towns 50,000-499,999",2,"PHD",7,0,0,1,"7"
"559",1173,"(2) Younger","Male","(11) West-Suburban",133,"(4) Asian",NA,21,NA,NA,NA,7,1,1,1,"7"
"931",1173,"(2) Younger","Male","(11) West-Suburban",133,"(4) Asian",NA,22,NA,NA,NA,7,2,1,1,"7"
"1303",1173,"(2) Younger","Male","(11) West-Suburban",133,"(4) Asian",NA,23,NA,NA,NA,7.5,3,1,1,"8"
"1675",1173,"(2) Younger","Male","(11) West-Suburban",133,"(4) Asian",0,24,NA,2,"PHD",8,4,0,1,"8"
"4",1185,"(1) Older","Male","(4) Northcentral-Urban",247,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,3,0,1,"8"
"376",1185,"(1) Older","Male","(4) Northcentral-Urban",247,"(3) White",NA,24,NA,NA,NA,8,4,1,1,"8"
"748",1185,"(1) Older","Male","(4) Northcentral-Urban",247,"(3) White",NA,25,NA,NA,NA,8,5,1,1,"8"
"1120",1185,"(1) Older","Male","(4) Northcentral-Urban",247,"(3) White",NA,26,NA,NA,NA,NA,6,1,1,NA
"1492",1185,"(1) Older","Male","(4) Northcentral-Urban",247,"(3) White",NA,27,NA,NA,NA,NA,7,1,1,NA
"188",1214,"(2) Younger","Female","(2) Northeast-Suburban",112,NA,0,20,"(2) Remainder urban area 1,000,000 or more",1,"PHD",10,0,0,0,"10"
"560",1214,"(2) Younger","Female","(2) Northeast-Suburban",112,NA,0,21,"(2) Remainder urban area 1,000,000 or more",2,"PHD",10,1,0,0,"10"
"932",1214,"(2) Younger","Female","(2) Northeast-Suburban",112,NA,0,22,"(2) Remainder urban area 1,000,000 or more",3,"PHD",10,2,0,0,"10"
"1304",1214,"(2) Younger","Female","(2) Northeast-Suburban",112,NA,0,23,"(2) Remainder urban area 1,000,000 or more",3,"PHD",10,3,0,0,"10"
"1676",1214,"(2) Younger","Female","(2) Northeast-Suburban",112,NA,0,24,NA,3,"PHD",10,4,0,0,"10"
"189",1223,"(2) Younger","Female","(11) West-Suburban",130,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,0,0,0,"8"
"561",1223,"(2) Younger","Female","(11) West-Suburban",130,"(3) White",0,21,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,1,0,0,"8"
"933",1223,"(2) Younger","Female","(11) West-Suburban",130,"(3) White",0,22,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,2,0,0,"8"
"1305",1223,"(2) Younger","Female","(11) West-Suburban",130,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",8,3,0,0,"8"
"1677",1223,"(2) Younger","Female","(11) West-Suburban",130,"(3) White",NA,24,NA,NA,NA,NA,4,1,0,NA
"190",1289,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,0,0,1,"8"
"562",1289,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,21,"(0) Not in U.S.",0,"PHD",8,1,0,1,"8"
"934",1289,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,22,"(5) Rural/small town 49,999 or less",0,"PHD",8,2,0,1,"8"
"1306",1289,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,23,"(5) Rural/small town 49,999 or less",0,"PHD",8,3,0,1,"8"
"1678",1289,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,24,NA,0,"PHD",8,4,0,1,"8"
"5",1298,"(1) Older","Male","(11) West-Suburban",234,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,3,0,1,"8"
"377",1298,"(1) Older","Male","(11) West-Suburban",234,"(3) White",1,24,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,4,0,1,"8"
"749",1298,"(1) Older","Male","(11) West-Suburban",234,"(3) White",1,25,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,5,0,1,"8"
"1121",1298,"(1) Older","Male","(11) West-Suburban",234,"(3) White",1,26,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,6,0,1,"8"
"1493",1298,"(1) Older","Male","(11) West-Suburban",234,"(3) White",1,27,NA,2,"<PHD",8,7,0,1,"8"
"191",1305,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",5,0,0,1,"5"
"563",1305,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,21,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",5,1,0,1,"5"
"935",1305,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,22,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",5,2,0,1,"5"
"1307",1305,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",5,3,0,1,"5"
"1679",1305,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,24,NA,3,"<PHD",5,4,0,1,"5"
"6",1310,"(1) Older","Male","(6) Northcentral-Rural",238,NA,1,23,"(4) Urban areas & towns 50,000-499,999",2,"PHD",8,3,0,1,"8"
"378",1310,"(1) Older","Male","(6) Northcentral-Rural",238,NA,NA,24,"(4) Urban areas & towns 50,000-499,999",NA,"PHD",8,4,1,1,"8"
"750",1310,"(1) Older","Male","(6) Northcentral-Rural",238,NA,1,25,"(4) Urban areas & towns 50,000-499,999",3,"PHD",8,5,0,1,"8"
"1122",1310,"(1) Older","Male","(6) Northcentral-Rural",238,NA,1,26,"(5) Rural/small town 49,999 or less",3,NA,8,6,0,1,"8"
"1494",1310,"(1) Older","Male","(6) Northcentral-Rural",238,NA,1,27,NA,3,"PHD",8,7,0,1,"8"
"192",1320,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,0,0,1,"7"
"564",1320,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,1,0,1,"7"
"936",1320,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,22,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",7,2,0,1,"7"
"1308",1320,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",7,3,0,1,"7"
"1680",1320,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",1,24,NA,2,"<PHD",7,4,0,1,"7"
"193",1325,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(4) Asian",0,20,"(4) Urban areas & towns 50,000-499,999",1,"PHD",9,0,0,1,"9"
"565",1325,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(4) Asian",0,21,"(4) Urban areas & towns 50,000-499,999",2,"PHD",9,1,0,1,"9"
"937",1325,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(4) Asian",0,22,"(2) Remainder urban area 1,000,000 or more",2,"PHD",9,2,0,1,"9"
"1309",1325,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(4) Asian",0,23,"(2) Remainder urban area 1,000,000 or more",2,"PHD",9,3,0,1,"9"
"1681",1325,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(4) Asian",0,24,NA,2,"PHD",9,4,0,1,"9"
"7",1327,"(1) Older","Female","(9) South-Rural",240,"(3) White",1,23,"(1) Central Place 1,000,000 or more",0,"PHD",9,3,0,0,"9"
"379",1327,"(1) Older","Female","(9) South-Rural",240,"(3) White",1,24,"(1) Central Place 1,000,000 or more",0,"PHD",9,4,0,0,"9"
"751",1327,"(1) Older","Female","(9) South-Rural",240,"(3) White",1,25,"(1) Central Place 1,000,000 or more",1,"PHD",9,5,0,0,"9"
"1123",1327,"(1) Older","Female","(9) South-Rural",240,"(3) White",NA,26,NA,NA,NA,NA,6,1,0,NA
"1495",1327,"(1) Older","Female","(9) South-Rural",240,"(3) White",1,27,NA,1,"PHD",NA,7,0,0,NA
"8",1338,"(1) Older","Male","(12) West-Rural",243,"(3) White",1,23,"(1) Central Place 1,000,000 or more",0,"<PHD",9,3,0,1,"9"
"380",1338,"(1) Older","Male","(12) West-Rural",243,"(3) White",NA,24,NA,NA,NA,9,4,1,1,"9"
"752",1338,"(1) Older","Male","(12) West-Rural",243,"(3) White",NA,25,NA,NA,NA,9,5,1,1,"9"
"1124",1338,"(1) Older","Male","(12) West-Rural",243,"(3) White",NA,26,NA,NA,NA,NA,6,1,1,NA
"1496",1338,"(1) Older","Male","(12) West-Rural",243,"(3) White",NA,27,NA,NA,NA,NA,7,1,1,NA
"194",1354,"(2) Younger","Female","(11) West-Suburban",133,"(3) White",0,20,"(1) Central Place 1,000,000 or more",0,"PHD",9,0,0,0,"9"
"566",1354,"(2) Younger","Female","(11) West-Suburban",133,"(3) White",0,21,"(1) Central Place 1,000,000 or more",0,"PHD",9,1,0,0,"9"
"938",1354,"(2) Younger","Female","(11) West-Suburban",133,"(3) White",0,22,"(3) Urban areas and towns 500,000-999,999",0,"PHD",9,2,0,0,"9"
"1310",1354,"(2) Younger","Female","(11) West-Suburban",133,"(3) White",0,23,"(1) Central Place 1,000,000 or more",0,"PHD",9,3,0,0,"9"
"1682",1354,"(2) Younger","Female","(11) West-Suburban",133,"(3) White",0,24,NA,0,"PHD",8,4,0,0,"8"
"9",1357,"(1) Older","Male","(11) West-Suburban",233,"(3) White",0,23,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,3,0,1,"8"
"381",1357,"(1) Older","Male","(11) West-Suburban",233,"(3) White",0,24,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,4,0,1,"8"
"753",1357,"(1) Older","Male","(11) West-Suburban",233,"(3) White",0,25,"(3) Urban areas and towns 500,000-999,999",2,"<PHD",8,5,0,1,"8"
"1125",1357,"(1) Older","Male","(11) West-Suburban",233,"(3) White",0,26,"(3) Urban areas and towns 500,000-999,999",2,"<PHD",8,6,0,1,"8"
"1497",1357,"(1) Older","Male","(11) West-Suburban",233,"(3) White",0,27,NA,2,"<PHD",8,7,0,1,"8"
"10",1363,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",1,23,"(5) Rural/small town 49,999 or less",2,"PHD",10,3,0,0,"10"
"382",1363,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",1,24,"(5) Rural/small town 49,999 or less",2,"PHD",10,4,0,0,"10"
"754",1363,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",1,25,"(5) Rural/small town 49,999 or less",2,"PHD",10,5,0,0,"10"
"1126",1363,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",1,26,"(5) Rural/small town 49,999 or less",2,"PHD",10,6,0,0,"10"
"1498",1363,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",1,27,NA,2,"PHD",10,7,0,0,"10"
"11",1372,"(1) Older","Male","(6) Northcentral-Rural",236,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,3,0,1,"8"
"383",1372,"(1) Older","Male","(6) Northcentral-Rural",236,"(3) White",NA,24,"(3) Urban areas and towns 500,000-999,999",NA,NA,8,4,1,1,"8"
"755",1372,"(1) Older","Male","(6) Northcentral-Rural",236,"(3) White",1,25,"(3) Urban areas and towns 500,000-999,999",3,"<PHD",7,5,0,1,"7"
"1127",1372,"(1) Older","Male","(6) Northcentral-Rural",236,"(3) White",1,26,"(3) Urban areas and towns 500,000-999,999",3,"<PHD",6,6,0,1,"6"
"1499",1372,"(1) Older","Male","(6) Northcentral-Rural",236,"(3) White",1,27,NA,4,"<PHD",6,7,0,1,"6"
"12",1430,"(1) Older","Male","(8) South-Suburban",229,"(3) White",0,23,"(1) Central Place 1,000,000 or more",1,"<PHD",7,3,0,1,"7"
"384",1430,"(1) Older","Male","(8) South-Suburban",229,"(3) White",0,24,"(1) Central Place 1,000,000 or more",2,"<PHD",7,4,0,1,"7"
"756",1430,"(1) Older","Male","(8) South-Suburban",229,"(3) White",0,25,"(1) Central Place 1,000,000 or more",NA,"<PHD",7,5,0,1,"7"
"1128",1430,"(1) Older","Male","(8) South-Suburban",229,"(3) White",0,26,"(1) Central Place 1,000,000 or more",2,"<PHD",7,6,0,1,"7"
"1500",1430,"(1) Older","Male","(8) South-Suburban",229,"(3) White",0,27,NA,3,"<PHD",7,7,0,1,"7"
"13",1454,"(1) Older","Female","(2) Northeast-Suburban",214,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",0,"PHD",10,3,0,0,"10"
"385",1454,"(1) Older","Female","(2) Northeast-Suburban",214,"(3) White",0,24,"(2) Remainder urban area 1,000,000 or more",0,"PHD",10,4,0,0,"10"
"757",1454,"(1) Older","Female","(2) Northeast-Suburban",214,"(3) White",NA,25,"(2) Remainder urban area 1,000,000 or more",NA,"PHD",10,5,1,0,"10"
"1129",1454,"(1) Older","Female","(2) Northeast-Suburban",214,"(3) White",0,26,"(2) Remainder urban area 1,000,000 or more",0,"PHD",10,6,0,0,"10"
"1501",1454,"(1) Older","Female","(2) Northeast-Suburban",214,"(3) White",0,27,NA,0,"PHD",10,7,0,0,"10"
"195",1460,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,20,"(5) Rural/small town 49,999 or less",0,"<PHD",9,0,0,1,"9"
"567",1460,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,21,"(1) Central Place 1,000,000 or more",0,"<PHD",9,1,0,1,"9"
"939",1460,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,22,"(1) Central Place 1,000,000 or more",1,"<PHD",9,2,0,1,"9"
"1311",1460,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,23,"(1) Central Place 1,000,000 or more",1,"<PHD",9,3,0,1,"9"
"1683",1460,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,24,NA,1,"<PHD",9,4,0,1,"9"
"14",1466,"(1) Older","Male","(9) South-Rural",242,"(3) White",1,23,"(1) Central Place 1,000,000 or more",0,"<PHD",9,3,0,1,"9"
"386",1466,"(1) Older","Male","(9) South-Rural",242,"(3) White",1,24,"(1) Central Place 1,000,000 or more",0,"<PHD",9,4,0,1,"9"
"758",1466,"(1) Older","Male","(9) South-Rural",242,"(3) White",1,25,"(1) Central Place 1,000,000 or more",0,"<PHD",9,5,0,1,"9"
"1130",1466,"(1) Older","Male","(9) South-Rural",242,"(3) White",1,26,"(1) Central Place 1,000,000 or more",0,"<PHD",9,6,0,1,"9"
"1502",1466,"(1) Older","Male","(9) South-Rural",242,"(3) White",1,27,NA,0,"<PHD",9,7,0,1,"9"
"196",1493,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,0,0,1,"8"
"568",1493,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,1,0,1,"8"
"940",1493,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,22,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,2,0,1,"8"
"1312",1493,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,3,0,1,"8"
"1684",1493,"(2) Younger","Male","(6) Northcentral-Rural",309,"(3) White",0,24,NA,0,"PHD",8,4,0,1,"8"
"197",1494,"(2) Younger","Male","(11) West-Suburban",132,"(3) White",0,20,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",6,0,0,1,"6"
"569",1494,"(2) Younger","Male","(11) West-Suburban",132,"(3) White",0,21,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",6,1,0,1,"6"
"941",1494,"(2) Younger","Male","(11) West-Suburban",132,"(3) White",NA,22,NA,NA,NA,6,2,1,1,"6"
"1313",1494,"(2) Younger","Male","(11) West-Suburban",132,"(3) White",NA,23,NA,NA,NA,NA,3,1,1,NA
"1685",1494,"(2) Younger","Male","(11) West-Suburban",132,"(3) White",NA,24,NA,NA,NA,NA,4,1,1,NA
"198",1560,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,20,"(1) Central Place 1,000,000 or more",0,"<PHD",7,0,0,1,"7"
"570",1560,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,21,"(1) Central Place 1,000,000 or more",0,"<PHD",7,1,0,1,"7"
"942",1560,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,22,"(1) Central Place 1,000,000 or more",1,"<PHD",7,2,0,1,"7"
"1314",1560,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,23,"(1) Central Place 1,000,000 or more",1,"<PHD",7,3,0,1,"7"
"1686",1560,"(2) Younger","Male","(8) South-Suburban",128,"(3) White",1,24,NA,2,"<PHD",7,4,0,1,"7"
"199",1606,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",1,"PHD",10,0,0,0,"10"
"571",1606,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",NA,21,"(2) Remainder urban area 1,000,000 or more",NA,"PHD",10,1,1,0,"10"
"943",1606,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",NA,22,"(2) Remainder urban area 1,000,000 or more",NA,"PHD",10,2,1,0,"10"
"1315",1606,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",3,"PHD",10,3,0,0,"10"
"1687",1606,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",0,24,NA,3,"PHD",10,4,0,0,"10"
"200",1609,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",0,20,"(1) Central Place 1,000,000 or more",0,"<PHD",9,0,0,1,"9"
"572",1609,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",0,21,"(1) Central Place 1,000,000 or more",0,"<PHD",9,1,0,1,"9"
"944",1609,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",NA,22,NA,NA,NA,9,2,1,1,"9"
"1316",1609,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",NA,23,NA,NA,NA,NA,3,1,1,NA
"1688",1609,"(2) Younger","Male","(2) Northeast-Suburban",115,"(3) White",0,24,NA,1,"<PHD",NA,4,0,1,NA
"15",1624,"(1) Older","Male","(2) Northeast-Suburban",212,NA,1,23,"(1) Central Place 1,000,000 or more",0,"PHD",7,3,0,1,"7"
"387",1624,"(1) Older","Male","(2) Northeast-Suburban",212,NA,1,24,"(1) Central Place 1,000,000 or more",0,"PHD",7,4,0,1,"7"
"759",1624,"(1) Older","Male","(2) Northeast-Suburban",212,NA,1,25,"(1) Central Place 1,000,000 or more",1,"PHD",7,5,0,1,"7"
"1131",1624,"(1) Older","Male","(2) Northeast-Suburban",212,NA,1,26,"(1) Central Place 1,000,000 or more",1,"PHD",7,6,0,1,"7"
"1503",1624,"(1) Older","Male","(2) Northeast-Suburban",212,NA,1,27,NA,1,"PHD",7,7,0,1,"7"
"201",1686,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",9,0,0,1,"9"
"573",1686,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,21,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",9,1,0,1,"9"
"945",1686,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,22,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",9,2,0,1,"9"
"1317",1686,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",9,3,0,1,"9"
"1689",1686,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,24,NA,2,"<PHD",9,4,0,1,"9"
